config:
pretrained_embedding_file:H://competition/pre_embed/sgns.target.word-ngram.1-2.dynwin5.thr10.neg5.dim300.iter5
data_dir:data/ctb60/
train_file:train.ctb60.seg.hwc
dev_file:dev.ctb60.seg.hwc
test_file:test.ctb60.seg.hwc
min_occur_cnt:0
use_own:False
save_dir:saved/
log_dir:log/
log_file:log.txt
best_model_file:best_model.model
save_vocab_file:vocab.vocab
save_after:10
lstm_layers:1
lstm_hiddens:200
char_dims:300
bichar_dims:300
input_dims:300
dropout_emb:0.33
dropout_lstm_input:0.33
dropout_lstm_hidden:0.33
dropout_mlp:0
optim:Adam
learning_rate:0.002
decay:0.75
decay_steps:500
beta_1:0.9
beta_2:0.9
epsilon:1e-12
clip:5.0
gpu:True
num_buckets_train:40
num_buckets_valid:10
num_buckets_test:10
train_iters:50
train_batch_size:32
test_batch_size:32
validate_every:1
update_every:4

GPU available: True  CuDNN: True
train num: 23401; dev num: 2078; test num: 2795
Step:18, epoch:0, batch:74, time:16.57, acc:0.70, loss:9.99
Step:18, epoch:0, batch:75, time:16.80, acc:0.70, loss:14.25
Step:19, epoch:0, batch:76, time:17.20, acc:0.70, loss:18.52
Step:19, epoch:0, batch:77, time:17.38, acc:0.70, loss:13.52
Step:19, epoch:0, batch:78, time:17.56, acc:0.71, loss:13.91
Step:19, epoch:0, batch:79, time:17.76, acc:0.71, loss:14.34
Step:20, epoch:0, batch:80, time:17.91, acc:0.71, loss:9.38
Step:20, epoch:0, batch:81, time:18.17, acc:0.71, loss:12.82
Step:20, epoch:0, batch:82, time:18.37, acc:0.71, loss:11.36
Step:20, epoch:0, batch:83, time:18.66, acc:0.71, loss:11.00
Step:21, epoch:0, batch:84, time:18.90, acc:0.72, loss:12.60
Step:21, epoch:0, batch:85, time:19.07, acc:0.72, loss:11.35
Step:21, epoch:0, batch:86, time:19.27, acc:0.72, loss:12.28
Step:21, epoch:0, batch:87, time:19.49, acc:0.72, loss:13.18
Step:22, epoch:0, batch:88, time:19.73, acc:0.72, loss:12.89
Step:22, epoch:0, batch:89, time:19.90, acc:0.73, loss:10.35
Step:22, epoch:0, batch:90, time:20.06, acc:0.73, loss:9.90
Step:22, epoch:0, batch:91, time:20.33, acc:0.73, loss:12.08
Step:23, epoch:0, batch:92, time:20.54, acc:0.73, loss:13.15
Step:23, epoch:0, batch:93, time:20.71, acc:0.73, loss:8.86
Step:23, epoch:0, batch:94, time:20.88, acc:0.74, loss:10.20
Step:23, epoch:0, batch:95, time:21.07, acc:0.74, loss:10.86
Step:24, epoch:0, batch:96, time:21.33, acc:0.74, loss:12.12
Step:24, epoch:0, batch:97, time:21.50, acc:0.74, loss:7.80
Step:24, epoch:0, batch:98, time:21.69, acc:0.74, loss:10.17
Step:24, epoch:0, batch:99, time:21.93, acc:0.74, loss:10.90
Step:25, epoch:0, batch:100, time:22.16, acc:0.74, loss:9.56
Step:25, epoch:0, batch:101, time:22.37, acc:0.75, loss:8.26
Step:25, epoch:0, batch:102, time:22.58, acc:0.75, loss:10.42
Step:25, epoch:0, batch:103, time:22.80, acc:0.75, loss:12.04
Step:26, epoch:0, batch:104, time:22.99, acc:0.75, loss:10.03
Step:26, epoch:0, batch:105, time:23.19, acc:0.75, loss:10.69
Step:26, epoch:0, batch:106, time:23.55, acc:0.75, loss:12.97
Step:26, epoch:0, batch:107, time:23.74, acc:0.75, loss:12.56
Step:27, epoch:0, batch:108, time:23.92, acc:0.75, loss:9.22
Step:27, epoch:0, batch:109, time:24.22, acc:0.75, loss:9.86
Step:27, epoch:0, batch:110, time:24.55, acc:0.76, loss:14.03
Step:27, epoch:0, batch:111, time:24.75, acc:0.76, loss:8.24
Step:28, epoch:0, batch:112, time:24.93, acc:0.76, loss:8.89
Step:28, epoch:0, batch:113, time:25.13, acc:0.76, loss:8.42
Step:28, epoch:0, batch:114, time:25.40, acc:0.76, loss:8.64
Step:28, epoch:0, batch:115, time:25.59, acc:0.76, loss:9.05
Step:29, epoch:0, batch:116, time:25.84, acc:0.76, loss:11.01
Step:29, epoch:0, batch:117, time:26.03, acc:0.77, loss:9.56
Step:29, epoch:0, batch:118, time:26.26, acc:0.77, loss:10.74
Step:29, epoch:0, batch:119, time:26.54, acc:0.77, loss:9.28
Step:30, epoch:0, batch:120, time:26.81, acc:0.77, loss:11.06
Step:30, epoch:0, batch:121, time:27.08, acc:0.77, loss:8.92
Step:30, epoch:0, batch:122, time:27.30, acc:0.77, loss:8.45
Step:30, epoch:0, batch:123, time:27.47, acc:0.77, loss:6.30
Step:31, epoch:0, batch:124, time:27.66, acc:0.77, loss:6.78
Step:31, epoch:0, batch:125, time:27.85, acc:0.77, loss:9.06
Step:31, epoch:0, batch:126, time:28.07, acc:0.78, loss:9.34
Step:31, epoch:0, batch:127, time:28.31, acc:0.78, loss:7.69
Step:32, epoch:0, batch:128, time:28.50, acc:0.78, loss:7.66
Step:32, epoch:0, batch:129, time:28.87, acc:0.78, loss:10.31
Step:32, epoch:0, batch:130, time:29.13, acc:0.78, loss:7.56
Step:32, epoch:0, batch:131, time:29.38, acc:0.78, loss:8.01
Step:33, epoch:0, batch:132, time:29.91, acc:0.78, loss:13.66
Step:33, epoch:0, batch:133, time:30.09, acc:0.78, loss:5.65
Step:33, epoch:0, batch:134, time:30.27, acc:0.78, loss:9.46
Step:33, epoch:0, batch:135, time:30.43, acc:0.78, loss:7.40
Step:34, epoch:0, batch:136, time:30.63, acc:0.79, loss:7.75
Step:34, epoch:0, batch:137, time:30.82, acc:0.79, loss:10.75
Step:34, epoch:0, batch:138, time:31.01, acc:0.79, loss:6.56
Step:34, epoch:0, batch:139, time:31.30, acc:0.79, loss:8.11
Step:35, epoch:0, batch:140, time:31.53, acc:0.79, loss:8.69
Step:35, epoch:0, batch:141, time:31.72, acc:0.79, loss:7.37
Step:35, epoch:0, batch:142, time:31.90, acc:0.79, loss:6.56
Step:35, epoch:0, batch:143, time:32.09, acc:0.79, loss:8.03
Step:36, epoch:0, batch:144, time:32.29, acc:0.79, loss:9.80
Step:36, epoch:0, batch:145, time:32.59, acc:0.79, loss:10.40
Step:36, epoch:0, batch:146, time:32.80, acc:0.79, loss:6.62
Step:36, epoch:0, batch:147, time:33.00, acc:0.80, loss:8.33
Step:37, epoch:0, batch:148, time:33.18, acc:0.80, loss:8.67
Step:37, epoch:0, batch:149, time:33.39, acc:0.80, loss:7.59
Step:37, epoch:0, batch:150, time:33.63, acc:0.80, loss:6.08
Step:37, epoch:0, batch:151, time:33.87, acc:0.80, loss:7.47
Step:38, epoch:0, batch:152, time:34.11, acc:0.80, loss:7.17
Step:38, epoch:0, batch:153, time:34.28, acc:0.80, loss:6.97
Step:38, epoch:0, batch:154, time:34.45, acc:0.80, loss:6.32
Step:38, epoch:0, batch:155, time:34.65, acc:0.80, loss:6.97
Step:39, epoch:0, batch:156, time:34.83, acc:0.80, loss:7.12
Step:39, epoch:0, batch:157, time:35.00, acc:0.80, loss:5.88
Step:39, epoch:0, batch:158, time:35.21, acc:0.80, loss:7.72
Step:39, epoch:0, batch:159, time:35.52, acc:0.80, loss:9.14
Step:40, epoch:0, batch:160, time:35.69, acc:0.81, loss:7.22
